"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed","trip_note","route_direction"
"SMNW_M","101-04.300422.32","101-04.300422.32.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.010522.64","101-04.010522.64.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.020522.15","101-04.020522.15.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.060522.16","101-04.060522.16.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.070522.32","101-04.070522.32.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.080522.64","101-04.080522.64.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.090522.15","101-04.090522.15.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.130522.16","101-04.130522.16.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.140522.32","101-04.140522.32.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.150522.64","101-04.150522.64.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.160522.15","101-04.160522.15.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.200522.16","101-04.200522.16.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.210522.32","101-04.210522.32.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.220522.64","101-04.220522.64.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.230522.15","101-04.230522.15.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.270522.16","101-04.270522.16.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.280522.32","101-04.280522.32.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.290522.64","101-04.290522.64.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.300522.15","101-04.300522.15.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-05.210222.15","101-05.210222.15.0637","Tallawong","101-05","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-05.250222.16","101-05.250222.16.0637","Tallawong","101-05","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-05.260222.32","101-05.260222.32.0637","Tallawong","101-05","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-05.270222.64","101-05.270222.64.0637","Tallawong","101-05","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-05.280222.15","101-05.280222.15.0637","Tallawong","101-05","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-05.040322.16","101-05.040322.16.0637","Tallawong","101-05","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-05.050322.32","101-05.050322.32.0637","Tallawong","101-05","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-05.060322.64","101-05.060322.64.0637","Tallawong","101-05","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-05.070322.15","101-05.070322.15.0637","Tallawong","101-05","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-05.110322.16","101-05.110322.16.0637","Tallawong","101-05","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-05.120322.32","101-05.120322.32.0637","Tallawong","101-05","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-05.130322.64","101-05.130322.64.0637","Tallawong","101-05","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-05.140322.15","101-05.140322.15.0637","Tallawong","101-05","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-05.180322.16","101-05.180322.16.0637","Tallawong","101-05","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-05.190322.32","101-05.190322.32.0637","Tallawong","101-05","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-05.200322.64","101-05.200322.64.0637","Tallawong","101-05","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-05.210322.15","101-05.210322.15.0637","Tallawong","101-05","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-05.250322.16","101-05.250322.16.0637","Tallawong","101-05","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
